Question,extracted_disease,curie_id,Goldstandard,llm_answer_prompt_test
What is the name of the gene related to Thyroid cancer?,Thyroid cancer,MONDO:0002108,"HABP2, NKX2-1, SRGAP1, FOXE1","{
  ""answer"": ""BRAF""
}"
What is the name of the gene related to Hyperparathyroidism-jaw tumor syndrome?,Hyperparathyroidism-jaw tumor syndrome,OMIM:145001,CDC73,"{
  ""answer"": ""HRPT2""
}"
What is the name of the gene related to Harderoporphyria?,Harderoporphyria,MONDO:0030048,CPOX,"{
  ""answer"": ""HMBS""
}"
What is the name of the gene related to Neurodevelopmental disorder with dysmorphic features?,Neurodevelopmental disorder with dysmorphic features,MONDO:0700092,PGAP1,"{
  ""answer"": ""KMT2A""
}"
What is the name of the gene related to Martsolf syndrome?,Martsolf syndrome,MONDO:0023910,"RAB3GAP2, RAB3GAP1","{
  ""answer"": ""MORC2""
}"
What is the name of the gene related to Monocarboxylate transporter deficiency?,Monocarboxylate transporter deficiency,PANTHER.FAMILY:PTHR11360,SLC16A1,"{
  ""answer"": ""SLC16A1""
}"
What is the name of the gene related to Monilethrix?,Monilethrix,MONDO:0008009,"KRT81, KRT83, KRT86","{
  ""answer"": ""KRT17""
}"
What is the name of the gene related to Foveal hypoplasia?,Foveal hypoplasia,MONDO:0044203,"PAX6, SLC38A8","{
  ""answer"": ""GDF6""
}"
What is the name of the gene related to Choreoacanthocytosis?,Choreoacanthocytosis,MONDO:0008695,VPS13A,"{
  ""answer"": ""CHAC""
}"
What is the name of the gene related to Heimler syndrome?,Heimler syndrome,OMIM:616617,"PEX1, PEX6","{
  ""answer"": ""TSEN54""
}"
What is the name of the gene related to Meleda disease?,Meleda disease,MONDO:0009552,SLURP1,"{
  ""answer"": ""SLURP1""
}"
What is the name of the gene related to Immune dysregulation and systemic hyperinflammation syndrome?,Immune dysregulation and systemic hyperinflammation syndrome,MONDO:0033557,RC3H1,"{
  ""answer"": ""IL10""
}"
What is the name of the gene related to Hyperprolinemia?,Hyperprolinemia,MONDO:0023419,"PRODH, ALDH4A1","{
  ""answer"": ""PRODH""
}"
What is the name of the gene related to AICA-ribosiduria due to ATIC deficiency?,AICA-ribosiduria due to ATIC deficiency,MONDO:0012099,ATIC,"{
  ""answer"": ""ATIC""
}"
What is the name of the gene related to Norum disease?,Norum disease,MONDO:0009515,LCAT,"{
  ""answer"": ""NUS1""
}"
What is the name of the gene related to Hypomyelinating neuropathy?,Hypomyelinating neuropathy,MONDO:0033352,"EGR2, MPZ, CNTNAP1","{
  ""answer"": ""MPZ""
}"
What is the name of the gene related to SADDAN?,SADDAN,MONDO:0014658,FGFR3,"{
  ""answer"": ""SLC25A46""
}"
What is the name of the gene related to Wieacker-Wolff syndrome?,Wieacker-Wolff syndrome,MONDO:0010758,"ZC4H2, ZC4H2","{
  ""answer"": ""ZC4H2""
}"
What is the name of the gene related to Kabuki syndrome?,Kabuki syndrome,MONDO:0016512,"KMT2D, KDM6A","{
  ""answer"": ""KMT2D""
}"
What is the name of the gene related to Coronary artery spasm?,Coronary artery spasm,UBERON:0001621,"NOS3, PON1","{
  ""answer"": ""CACNA1C""
}"
What is the name of the gene related to Multiple endocrine neoplasia IIB?,Multiple endocrine neoplasia IIB,MONDO:0017169,RET,"{
  ""answer"": ""RET""
}"
What is the name of the gene related to Blistering?,Blistering,MONDO:0030986,DSG3,"{
  ""answer"": ""COL7A1""
}"
What is the name of the gene related to Sick sinus syndrome?,Sick sinus syndrome,MONDO:0001823,"GNB2, SCN5A, HCN4, MYH6","{
  ""answer"": ""HCN4""
}"
What is the name of the gene related to Thrombophilia?,Thrombophilia,MONDO:0002305,"F8, F9, F5","{
  ""answer"": ""F5""
}"
What is the name of the gene related to Maturity-onset diabetes of the young?,Maturity-onset diabetes of the young,MONDO:0018911,"NEUROD1, INS, BLK, KCNJ11, PAX4, KLF11, CEL, APPL1","{
  ""answer"": ""HNF4A""
}"
What is the name of the gene related to Fucosidosis?,Fucosidosis,MONDO:0009254,FUCA1,"{
  ""answer"": ""FUCA1""
}"
What is the name of the gene related to Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities?,Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities,MONDO:0033613,HPDL,"{
  ""answer"": ""SPG11""
}"
What is the name of the gene related to Craniofacial-skeletal-dermatologic dysplasia?,Craniofacial-skeletal-dermatologic dysplasia,MONDO:0007043,FGFR2,"{
  ""answer"": ""FAM20C""
}"
What is the name of the gene related to Hawkinsinuria?,Hawkinsinuria,MONDO:0007700,HPD,"{
  ""answer"": ""HPD""
}"
What is the name of the gene related to Brain abnormalities?,Brain abnormalities,UBERON:0000955,CSF1R,"{
  ""answer"": ""BDNF""
}"
What is the name of the gene related to HSD10 mitochondrial disease?,HSD10 mitochondrial disease,MONDO:0010327,HSD17B10,"{
  ""answer"": ""HSD17B10""
}"
What is the name of the gene related to Elliptocytosis?,Elliptocytosis,MONDO:0017319,"EPB41, SPTA1, SPTB","{
  ""answer"": ""ANK1""
}"
What is the name of the gene related to IVIC syndrome?,IVIC syndrome,MONDO:0007836,SALL4,"{
  ""answer"": ""IVL""
}"
What is the name of the gene related to Zimmermann-Laband syndrome?,Zimmermann-Laband syndrome,MONDO:0000200,"KCNH1, ATP6V1B2, KCNN3","{
  ""answer"": ""KCNJ10""
}"
What is the name of the gene related to Fasting plasma glucose level?,Fasting plasma glucose level,UMLS:C3150710,GCKR,"{
  ""answer"": ""GCK""
}"
What is the name of the gene related to Gout?,Gout,MONDO:0005393,PRPS1,"{
  ""answer"": ""SLC2A9""
}"
What is the name of the gene related to Schwannomatosis?,Schwannomatosis,DOID:3204,"NF2, SMARCB1, LZTR1","{
  ""answer"": ""SMARCB1""
}"
What is the name of the gene related to Hypoparathyroidism?,Hypoparathyroidism,MONDO:0001220,"PTH, GCM2, GATA3","{
  ""answer"": ""GCM2""
}"
What is the name of the gene related to Sclerosing cholangitis?,Sclerosing cholangitis,MONDO:0018646,DCDC2,"{
  ""answer"": ""ABCB4""
}"
What is the name of the gene related to Mycobacterium tuberculosis?,Mycobacterium tuberculosis,NCBITaxon:1773,"IRGM, SLC11A1, CCL2, CD209, SP110, TLR2","{
  ""answer"": ""Rv3879c""
}"
What is the name of the gene related to Cole-Carpenter syndrome?,Cole-Carpenter syndrome,MONDO:0016085,"P4HB, SEC24D","{
  ""answer"": ""COL1A1""
}"
What is the name of the gene related to Tn polyagglutination syndrome?,Tn polyagglutination syndrome,MONDO:0010381,C1GALT1C1,"{
  ""answer"": ""T-synthase""
}"
What is the name of the gene related to Congenital contractures of the limbs and face?,Congenital contractures of the limbs and face,MONDO:0014556,NALCN,"{
  ""answer"": ""TNNI2""
}"
What is the name of the gene related to Hartsfield syndrome?,Hartsfield syndrome,MONDO:0014196,FGFR1,"{
  ""answer"": ""TBX3""
}"
What is the name of the gene related to Hodgkin lymphoma?,Hodgkin lymphoma,MONDO:0018908,KLHDC8B,"{
  ""answer"": ""BCL2""
}"
What is the name of the gene related to Hemorrhagic diathesis due to antithrombin Pittsburgh?,Hemorrhagic diathesis due to antithrombin Pittsburgh,MONDO:0008802,SERPINA1,"{
  ""answer"": ""SERPINC1""
}"
